symbol_root,contract_symbol,continuous_symbol,ts_open_utc,ts_close_utc,open,high,low,close,volume,trade_count,vwap,source_name,is_rth,session_id,is_rollover_period,is_holiday_session,is_valid_bar
NQ,NQH6,NQ.c.0,2026-01-02T14:20:00Z,2026-01-02T14:21:00Z,17000.0,17000.75,16999.2,16999.95,700,175,16999.97,fixture_csv,true,2026-01-02-RTH,false,false,true
NQ,NQH6,NQ.c.0,2026-01-02T14:21:00Z,2026-01-02T14:22:00Z,16999.95,17000.7,16999.15,16999.9,725,181,16999.93,fixture_csv,true,2026-01-02-RTH,false,false,true
NQ,NQH6,NQ.c.0,2026-01-02T14:22:00Z,2026-01-02T14:23:00Z,16999.9,17000.65,16999.1,16999.85,750,187,16999.88,fixture_csv,true,2026-01-02-RTH,false,false,true
NQ,NQH6,NQ.c.0,2026-01-02T14:23:00Z,2026-01-02T14:24:00Z,16999.85,17000.6,16999.05,16999.8,775,193,16999.83,fixture_csv,true,2026-01-02-RTH,false,false,true
NQ,NQH6,NQ.c.0,2026-01-02T14:24:00Z,2026-01-02T14:25:00Z,16999.8,17000.55,16999.0,16999.75,800,200,16999.78,fixture_csv,true,2026-01-02-RTH,false,false,true
NQ,NQH6,NQ.c.0,2026-01-02T14:25:00Z,2026-01-02T14:26:00Z,16999.75,17000.5,16998.95,16999.7,825,206,16999.72,fixture_csv,true,2026-01-02-RTH,false,false,true
NQ,NQH6,NQ.c.0,2026-01-02T14:26:00Z,2026-01-02T14:27:00Z,16999.7,17000.45,16998.9,16999.65,850,212,16999.68,fixture_csv,true,2026-01-02-RTH,false,false,true
NQ,NQH6,NQ.c.0,2026-01-02T14:27:00Z,2026-01-02T14:28:00Z,16999.65,17000.4,16998.85,16999.6,875,218,16999.62,fixture_csv,true,2026-01-02-RTH,false,false,true
NQ,NQH6,NQ.c.0,2026-01-02T14:28:00Z,2026-01-02T14:29:00Z,16999.6,17000.35,16998.8,16999.55,900,225,16999.58,fixture_csv,true,2026-01-02-RTH,false,false,true
NQ,NQH6,NQ.c.0,2026-01-02T14:29:00Z,2026-01-02T14:30:00Z,16999.55,17000.3,16998.75,16999.5,925,231,16999.53,fixture_csv,true,2026-01-02-RTH,false,false,true
NQ,NQH6,NQ.c.0,2026-01-02T14:30:00Z,2026-01-02T14:31:00Z,16999.5,17000.25,16998.7,16999.45,950,237,16999.47,fixture_csv,true,2026-01-02-RTH,false,false,true
NQ,NQH6,NQ.c.0,2026-01-02T14:31:00Z,2026-01-02T14:32:00Z,16999.45,17000.2,16997.8,16998.55,1000,250,16999.0,fixture_csv,true,2026-01-02-RTH,false,false,true
NQ,NQH6,NQ.c.0,2026-01-02T14:32:00Z,2026-01-02T14:33:00Z,16998.55,16999.3,16996.9,16997.65,1025,256,16998.1,fixture_csv,true,2026-01-02-RTH,false,false,true
